"number","title","pageid","namespace","length","touched"
"1","Arnold_Schwarzenegger","1806","","220133","20210507231944"
"2","Aaliyah","2144","","158832","20210504110658"
"3","Adam_Carolla","2723","","66016","20210507141924"
"4","Albert_Brooks","3075","","26253","20210427173237"
"5","Britney_Spears","3382","","236070","20210512131220"
"6","Bing_Crosby","4010","","112494","20210508084246"
"7","Blythe_Danner","4110","","30736","20210414123437"
"8","Berry_Berenson","4182","","8311","20210504235502"
"9","Billy_Bob_Thornton","4471","","34950","20210421175748"
"10","Burt_Lancaster","4537","","59798","20210509185434"
"11","Billy_Crystal","4649","","48789","20210511213909"
"12","Bruce_Campbell","4670","","38682","20210506133111"
"13","Bill_Macy","4870","","8774","20210423122501"
"14","Bill_Bixby","4969","","43329","20210427140818"
"15","Bela_Lugosi","5034","","48316","20210505195944"
"16","Charlize_Theron","5132","","98268","20210513040317"
"17","Courtney_Love","5655","","191731","20210509062050"
"18","Cecil_B._DeMille","6176","","138581","20210511004240"
"19","Caitlin_Clarke","7033","","5624","20210416040145"
"20","Chris_Sarandon","7180","","21402","20210414081701"
"21","Carol_Kane","7183","","30317","20210421201440"
"22","Calista_Flockhart","7517","","20905","20210426011600"
"23","The_Amazing_Criswell","7833","","12693","20210415200326"
"24","Drew_Barrymore","7886","","71685","20210507150316"
"25","Doris_Day","8300","","73334","20210510034801"
"26","David_Janssen","8343","","19686","20210511195316"
"27","Dwight_Schultz","8425","","26107","20210430015722"
"28","Dolly_Parton","8716","","124306","20210512135848"
"29","Desi_Arnaz","8774","","35822","20210430000413"
"30","Dennis_Hopper","8791","","65166","20210506045010"
"31","David_Huffman","8940","","11925","20210507101832"
"32","Danny_Kaye","9002","","75127","20210508180723"
"33","Dana_Plato","9048","","30874","20210422235154"
"34","Dolores_Fuller","9156","","11689","20210502001913"
"35","Elvis_Presley","9288","","230396","20210507044248"
"36","Elizabeth_Gracen","10071","","12132","20210313145924"
"37","Eve_Arden","10409","","27982","20210417202058"
"38","Elyssa_Davalos","10472","","6340","20210414062620"
"39","Eli_Wallach","10482","","35560","20210510045741"
"40","Ed_Wood","10520","","37358","20210512223743"
"41","Frank_Zappa","10672","","158936","20210507200533"
"42","Fay_Wray","10965","","23794","20210502175242"
"43","Frank_Sinatra","11181","","221007","20210511131449"
"44","Fred_Savage","11530","","28145","20210510154728"
"45","Gene_Kelly","12209","","64889","20210429144124"
"46","Gary_Coleman","12230","","49469","20210512110524"
"47","Groucho_Marx","12426","","62034","20210430232522"
"48","George_Peppard","12531","","74130","20210502183648"
"49","Gene_Hackman","12561","","47433","20210507215007"
"50","Garrison_Keillor","12743","","62812","20210510161650"
"51","Gavin_MacLeod","12792","","28585","20210406205308"
"52","Gary_Busey","13030","","22447","20210512140121"
"53","Halle_Berry","13717","","73705","20210502011738"
"54","Harry_Connick_Jr.","13743","","49707","20210510154233"
"55","Humphrey_Bogart","14045","","93455","20210501154505"
"56","Harry_Shearer","14331","","73271","20210512211533"
"57","Ice-T","14709","","85007","20210512001732"
"58","Joshua_Jackson","15587","","28485","20210414083303"
"59","Jack_Lemmon","15821","","39023","20210509123640"
"60","Jerry_Lewis","15967","","149148","20210511205139"
"61","James_Cagney","16046","","101460","20210422000814"
"62","John_Wayne","16103","","108357","20210505212541"
"63","James_Spader","16115","","18089","20210509155440"
"64","Jennifer_Lopez","16175","","210602","20210512173737"
"65","Joseph_Cotten","16219","","91738","20210502183851"
"66","Jim_Henson","16228","","75336","20210513014251"
"67","James_Stewart","16273","","179314","20210512132703"
"68","John_Belushi","16384","","43578","20210503155229"
"69","Jason_Alexander","16480","","47289","20210510065017"
"70","Jay_Leno","16506","","59214","20210502001346"
"71","Jon_Voight","16521","","50144","20210507210418"
"72","Julia_Roberts","16553","","62720","20210510040215"
"73","Johnny_Weissmuller","16558","","25751","20210502035908"
"74","Kyle_MacLachlan","16757","","45980","20210512180358"
"75","Kevin_Spacey","16768","","94028","20210511175705"
"76","Kevin_Bacon","16827","","40915","20210329183733"
"77","Kareem_Abdul-Jabbar","16899","","106027","20210511032300"
"78","Kelsey_Grammer","17130","","72538","20210512213208"
"79","Kim_Milford","17256","","7289","20210409084154"
"80","Khandi_Alexander","17314","","18349","20210414035037"
"81","Katina_Paxinou","17334","","9284","20210223203446"
"82","Kirsten_Dunst","17450","","107477","20210511024419"
"83","Leslie_Caron","17505","","26744","20210502195933"
"84","L._Frank_Baum","18188","","50675","20210503001643"
"85","Louis_Armstrong","18313","","97092","20210503211754"
"86","Lee_Marvin","18433","","45042","20210502182710"
"87","Lee_Van_Cleef","18706","","37537","20210512070006"
"88","Mary_Pickford","18823","","57018","20210513021939"
"89","Mack_Sennett","18824","","22033","20210507162322"
"90","Martin_Scorsese","18995","","201749","20210505033603"
"91","Mr._T","19019","","51227","20210418205627"
"92","Marilyn_Monroe","19318","","127006","20210506230642"
"93","Mariah_Carey","19499","","250273","20210512084026"
"94","Marlon_Brando","19903","","145068","20210507164144"
"95","Mel_Brooks","20218","","55305","20210507221658"
"96","Miles_Davis","20405","","123852","20210512200510"
"97","Mandy_Patinkin","20566","","47671","20210512215736"
"98","Morgan_Freeman","20584","","160161","20210512160844"
"99","Mary_Tyler_Moore","20833","","59549","20210414070904"
"100","Meat_Loaf","21026","","86921","20210510041400"
"101","Nicolas_Cage","21111","","87906","20210510221657"
"102","Nancy_Reagan","21181","","118337","20210507025116"
"103","Nancy_Sinatra","21683","","34443","20210504135803"
"104","Orson_Welles","22196","","241175","20210512202014"
"105","Paul_Robeson","23229","","148086","20210512053702"
"106","Paula_Abdul","23300","","100290","20210510034715"
"107","Peter_Falk","23725","","65806","20210503011648"
"108","Peggy_Lee","25147","","47288","20210511011133"
